Age,M,F,,,,,,,,,
0-4,1503041,1463717,,,5641830,,,10,0.177247453,5,-0.751419996
05-Sep,1355782,1319290,,,5151211,,,,0,10,#NUM!
Oct-14,1255048,1221091,,,5007557,,,32,0.639034164,15,-0.194475923
15-19,1284205,1247213,,,5132506,,,,0,20,#NUM!
20-24,1350380,1250708,,,5251818,,,184,3.503548676,25,0.544508156
25-29,1474940,1175790,,,5646108,,,,0,30,#NUM!
30-34,1797630,1197748,,,5934389,,,271,4.566603234,35,0.65959328
35-39,1828806,1110205,,,5217238,,,,0,40,#NUM!
40-44,1457284,820943,,,3980130,,,282,7.08519571,45,0.850351851
45-49,1114917,586986,,,2886274,,,,0,50,#NUM!
50-54,790456,393915,,,1983253,,,338,17.04270711,55,1.23153858
55-59,514440,284442,,,1297542,,,,0,60,#NUM!
60-64,294162,204498,,,825555,,,266,32.22074847,65,1.508135625
65-69,177911,148984,,,566146,,,,0,70,#NUM!
70-74,124028,115223,,,388938,,,230,59.13538919,75,1.771847459
75-79,74727,74960,,,236051,,,,0,80,#NUM!
80-84,40999,45365,,,141436,,,105,74.23852485,85,1.870629334
85-89,17514,22912,,,52813,,,,,,
90-94,4860,7527,,,14509,,,,,,
95-99,730,1392,,,2259,,,,,,
100+,30,107,,,137,,,,,,
